question_number,question_text,marks,year,question_category,sub_category
1,Underline the changes in the field of society and economy from the Rig Vedic to the later Vedic period.,10,2024,History,
2,Estimate the contribution of Pallavas of Kanchi for the development of art and literature of South India.,10,2024,Art and Culture,
3,What were the events that led to the Quit India Movement? Point out its results.,10,2024,History,
4,What is sea surface temperature rise? How does it affect the formation of tropical cyclones?,10,2024,Geography,
5,Why do large cities tend to attract more migrants than smaller towns? Discuss in the light of economics in developing countries.,10,2024,Economics,
6,What is the phenomenon of 'cloudbursts'? Explain.,10,2024,Geography,
7,What is the concept of a 'demographic winter'? Is the world moving towards such a situation? Elaborate.,10,2024,Indian Society,
8,"Distinguish between gender equality, gender equity and women's empowerment. Why is it important to take gender concerns into account in programme design and implementation?",10,2024,Indian Society,
9,"Intercaste Marriages between castes which have socio-economic parity have increased, to some extent, but this is less true of interreligious marriages. Discuss.",10,2024,Indian Society,
10,"In dealing with socio-economic issues of development, what kind of collaboration between government, NGOs and private sector would be most productive?",10,2024,Economics,
11,Though the Cholas are no more yet their name is still remembered with great pride because of their highest achievements in the domain of art and architecture. Comment.,15,2024,Art and Culture,
12,How far is it correct to say that the First World War was fought essentially for the preservation of balance of power?,15,2024,History,
13,How far was the Industrial Revolution in England responsible for the decline of handicrafts and cottage industries in India?,15,2024,History,
14,The groundwater potential of the gangetic valley is on a serious decline. How may it affect the food security of India?,15,2024,Geography,
15,What are aurora australis and aurora borealis? How are these triggered?,15,2024,Geography,
16,What is a twister? Why are the majority of twisters observed in areas around the Gulf of Mexico?,15,2024,Geography,
17,What is regional disparity? How does it differ from diversity? How serious is the issue of regional disparity in India?,15,2024,Economics,
18,"Despite comprehensive policies for equity and social justice, underprivileged sections are not yet getting the full benefits of affirmative action, envisaged by the Constitution. Comment.",15,2024,Polity,
19,"Globalization has increased urban migration by skilled, young, unmarried women from various classes. How has this trend impacted upon their personal freedom and relationship with family?",15,2024,Indian Society,
20,Critically analyse the proposition that there is a high correlation between India's cultural diversities and socio-economic marginalities.,15,2024,Indian Society,
11,What are the main features of Vedic society and religion? Do you think some of the features are still prevailing in Indian society?,15,2023,Art and Culture,
3,Bring out the socio-economic effects of the introduction of railways in different countries of the world.,10,2023,Economics,
16,Why did human development fail to keep pace with economic development in India?,15,2023,Economics,
