question_number,question_text,marks,year,question_category,sub_category
1,Examine the need for electoral reforms as suggested by various committees with particular reference to “one nation – one election” principle.,10,2024,Polity,
2,Explain and distinguish between Lok Adalats and Arbitration Tribunals. Whether they entertain civil as well as criminal cases ?,10,2024,Polity,
3,“The growth of cabinet system has practically resulted in the marginalization of the parliamentary supremacy.” Elucidate.,10,2024,Polity,
4,“The duty of the Comptroller and Auditor General is not merely to ensure the legality of expenditure but also its propriety.” Comment.,10,2024,Polity,
5,Analyse the role of local bodies in providing good governance at local level and bring out the pros and cons merging the rural local bodies with the urban local bodies.,10,2024,Polity,
6,Public charitable trusts have the potential to make India’s development more inclusive as they relate to certain vital public issues. Comment.,10,2024,Polity,
7,"Poverty and malnutrition create a vicious cycle, adversely affecting human capital formation. What steps can be taken to break the cycle?",10,2024,Economics,
8,The doctrine of Democratic Governance makes it necessary that the public perception of the integrity and commitment of civil servants becomes absolutely positive. Discuss.,10,2024,Governance,
9,The West is fostering India as an alternative to reduce dependence on China’s supply chain and as a strategic ally to counter China’s political and economic dominance.' Explain this statement with examples.,10,2024,International Relations,
10,"Critically analyse India’s evolving diplomatic, economic and strategic relations with the Central Asian Republics (CARs) highlighting their increasing significance in regional and global geopolitics.",10,2024,International Relations,
11,"What are the aims and objects of recently passed and enforced, The Public Examination (Prevention of Unfair Means) Act, 2024 ? Whether University/State Education Board examinations, too, are covered under the Act?",15,2024,Governance,
12,Right to privacy is intrinsic to life and personal liberty and is inherently protective under Article 21 of the constitution. Explain. In this reference discuss the law relating to D.N.A. testing of child in the womb to establish its paternity.,15,2024,Polity,
13,What changes has the Union Government recently introduced in the domain of Centre-State relations ? Suggest measures to be adopted to build the trust between the Centre and the States and for strengthening federalism.,15,2024,Polity,
14,"Explain the reasons for the growth of public interest litigation in India. As a result of it, has the Indian Supreme Court emerged as the world’s most powerful judiciary ?",15,2024,Polity,
15,Discuss India as a secular state and compare with the secular principles of the US constitution.,15,2024,Polity,
